Name,Country,Invention,
Georges Claude,France,Neon lighting,
Joseph Henry,United States,Electromagnet relay,
Galileo Galilei,Italy,Telescope,
Linus Torvalds,Finland,Linux operating system,
Ami Argand,Switzerland,Argand lamp,
André-Jacques Garnerin,France,Parachute,
Levi Strauss,United States,Jeans,
Alessandro Volta,Italy,Electric battery,
Thomas Savery,United Kingdom,Steam pump,
John Harrison,United Kingdom,Marine chronometer,
Richard Leach Maddox,United Kingdom,Photographic dry plate,
Edouard Benedictus,France,Safety glass,
David Schwarz,Germany,Rigid airship design,
John Atanasoff,United States,First electronic digital computer,
Heinrich Hertz,Germany,Electromagnetic waves,
R. Buckminster Fuller,United States,Geodesic dome,
Arthur Fry,United States,Post-it Notes,
Charles Townes,United States,Laser physics,
Ralph H. Baer,United States,Video game console,
Reginald Fessenden,Canada/United States,AM radio,
Galileo Galilei,Italy,Telescope,
Antoine Lavoisier,France,Modern chemistry,
Joseph Engelberger,United States,Industrial robot,
Joseph-Armand Bombardier,Canada,Snowmobile,
Karl Landsteiner,Austria-Hungary,Blood types,
Reginald Fessenden,Canada,AM radio,
John Shepherd-Barron,Scotland,ATM,
Levi Strauss,United States,Jeans,
James Clerk Maxwell,United Kingdom,Electromagnetic theory,
Philo Farnsworth,United States,Electronic television,
Frank Bunker Gilbreth,United States,Motion study,
Daisuke Inoue,Japan,Karaoke machine,
Elisha Otis,United States,Elevator safety brake,
Fridtjof Nansen,Norway,Polar exploration techniques,
James Dyson,United Kingdom,Vacuum cleaner,
Sir Humphry Davy,United Kingdom,Safety lamp,
John Kay,United Kingdom,Flying shuttle,
Richard Gatling,United States,Gatling gun,
Tim Berners-Lee,United Kingdom,World Wide Web,
Charles Francis Jenkins,United States,Motion picture projector,
Hans Lippershey,Netherlands,Telescope,
Jean-Bernard-Léon Foucault,France,Foucault pendulum,
Philo Taylor Farnsworth,United States,Television,
Grace Hopper,United States,COBOL programming language,
Wilhelm Conrad Röntgen,Germany,X-rays discovery,
Alexander Fleming,United Kingdom,Penicillin,
Christian Huygens,Netherlands,Pendulum clock,
Ada Lovelace,United Kingdom,First computer programmer,
Philo Taylor Farnsworth,United States,Television,
Sergey Brin and Larry Page,United States,Google search engine,
Gideon Sundback,Sweden/United States,Zipper,
Hans Geiger,Germany,Geiger counter,
Evangelista Torricelli,Italy,Barometer,
Herbert Akroyd Stuart,United Kingdom,Hot bulb engine,
Ada Lovelace,United Kingdom,First computer programmer,
Charles Goodyear,United States,Vulcanized rubber,
Yoshua Bengio,Canada,Deep learning,
Daniel Fahrenheit,Germany/Poland,Mercury thermometer,
Shinya Yamanaka,Japan,Induced pluripotent stem cells,
Charles Tellier,France,Refrigeration,
Giovanni Caselli,Italy,Pantelegraph,
Leon Theremin,Russia,Theremin,
Charles Francis Jenkins,United States,Motion picture projector,
Hedy Lamarr,United States,Spread spectrum communication,
Charles Francis Richter,United States,Richter scale,
Semyon Kirlian,Russia,Kirlian photography,
Luther Simjian,United States,ATM,
Frederick McKinley Jones,United States,Refrigeration,
James Hargreaves,United Kingdom,Spinning jenny,
David Schwarz,Germany,Rigid airship design,
Konrad Zuse,Germany,First programmable computer,
Jacob Perkins,United States,Steam engine,
George Pullman,United States,Pullman sleeping car,
Arthur Pitney,United States,Postage meter,
John Boyd Dunlop,Scotland,Pneumatic tire,
Ruth Handler,United States,Barbie doll,
Sergey Brin and Larry Page,United States,Google search engine,
Henry Bessemer,United States,Bessemer process,
Vint Cerf,United States,Internet protocols,
Charles Babbage,United Kingdom,Mechanical computer,
William Kelly,United States,Bessemer process,
Frederick McKinley Jones,United States,Refrigeration unit,
Hans von Ohain,Germany,Jet engine,
Richard Trevithick,United Kingdom,Steam locomotive,
Sir Isaac Newton,United Kingdom,Reflecting telescope,
Eugene Polley,United States,Wireless remote control,
John von Neumann,United States,Stored-program computer,
Christopher Cockerell,United Kingdom,Hovercraft,
R. Buckminster Fuller,United States,Geodesic dome,
Thomas Tompion,United Kingdom,Clockmaking inventions,
Christian Huygens,Netherlands,Pendulum clock,
Vint Cerf,United States,Internet protocols,
Ada Lovelace,United Kingdom,First computer programmer,
Nicolas Appert,France,Canning process,
Whitcomb Judson,United States,Zipper precursor,
Hans Berger,Germany,EEG,
Nikolai Basov,Russia,Laser physics,
Wallace Carothers,United States,Nylon,
Zhores Alferov,Russia,Heterostructure semiconductors,
Robert Chesebrough,United States,Vaseline,
Narinder Singh Kapany,United Kingdom,Fiber optics,
John Shepherd-Barron,Scotland,ATM,
Willem Einthoven,Netherlands,Electrocardiograph,
Stephanie Kwolek,United States,Kevlar,
Maria Telkes,Hungary,Solar thermal storage system,
Carl Sontheimer,United States,Food processor,
Jacob Perkins,United States,Steam engine,
Philo Taylor Farnsworth,United States,Television,
Karl Benz,Germany,Automobile,
Carlos Glidden,United States,Typewriter,
Konrad Zuse,Germany,First programmable computer,
James Clerk Maxwell,United Kingdom,Electromagnetic theory,
Frank Bunker Gilbreth,United States,Motion study,
Joseph-Armand Bombardier,Canada,Snowmobile,
Daniel Fahrenheit,Germany,Mercury thermometer,
Stephanie Kwolek,United States,Kevlar,
Blaise Pascal,France,Calculator,
Nikola Tesla,Serbia,Alternating current motor,
Charles Townes,United States,Laser physics,
Henry Ford,United States,Assembly line manufacturing,
Joseph Swan,United Kingdom,Carbon filament lamp,
James Starley,United Kingdom,Bicycle improvements,
James Murray Spangler,United States,Electric vacuum cleaner,
Jean-Bernard-Léon Foucault,France,Foucault pendulum,
John Wesley Hyatt,United Kingdom,Celluloid,
Georges Claude,France,Neon lighting,
Hans Goldschmidt,Germany,Thermite process,
Charles Cros,France,Color photography,
Christopher Cockerell,United Kingdom,Hovercraft,
Semyon Kirlian,Russia,Kirlian photography,
Samuel Fox,United Kingdom,Steel-ribbed umbrella,
Felix Hoffmann,United States,Aspirin,
John T. Parsons,United States,Numerical control (CNC),
Carl Elsener,Switzerland,Swiss Army knife,
Vint Cerf,United States,Internet protocols,
Robert Moog,United States,Moog synthesizer,
James Clerk Maxwell,United Kingdom,Electromagnetic theory,
Ignazio Porro,Italy,Porro prism,
Charles Fritts,United States,Solar cell,
Otis Boykin,United States,Improved electrical resistor,
John Ambrose Fleming,United Kingdom,Vacuum tube diode,
Jacob Perkins,United States,Steam engine,
Charles Tellier,France,Refrigeration,
Elisha Gray,United States,Telegraph,
Elisha Gray,United States,Telephone,
George de Mestral,Switzerland,Velcro,
Antoine Lavoisier,France,Founder of modern chemistry,
Sir Charles Parsons,United Kingdom,Steam turbine,
Nikola Tesla,United States,Alternating current electrical system,
Carl Elsener,Switzerland,Swiss Army knife,
Garrett Morgan,United States,Traffic signal,
George Washington Carver,United States,Peanut products,
Henry Bessemer,United States,Bessemer process,
James Dyson,United Kingdom,Bagless vacuum cleaner,
Jack Kilby,United States,Integrated circuit,
Henry Bessemer,United States,Bessemer process,
Joseph Marie Jacquard,France,Jacquard loom,
Carl Wilhelm Siemens,Germany,Regenerative furnace,
Nikola Tesla,United States,Alternating current motor,
James West,United States,Electret microphone,
Carl Sontheimer,United States,Food processor,
Joseph Bramah,United Kingdom,Hydraulic press,
Sir Humphry Davy,United Kingdom,Safety lamp,
Philipp Reis,Germany,Telephone prototype,
Samuel Colt,United States,Colt revolver,
John von Neumann,United States,Stored-program computer,
Bette Nesmith Graham,United States,Liquid Paper,
Ruth Handler,United States,Barbie doll,
Biruté Galdikas,Indonesia,Orangutan conservation,
Edwin H. Land,United States,Instant photography (Polaroid),
Bartolomeo Cristofori,Italy,First piano,
Mary Walton,United States,Noise reduction system,
Felix Hoffmann,Germany,Aspirin,
Frederick Walton,United States,Liquid Paper,
John Wesley Hyatt,United States,Celluloid,
John Harrison,United Kingdom,Marine chronometer,
John Bardeen,United States,Transistor,
Yvonne Brill,Canada,Propulsion systems,
George Pullman,United States,Pullman sleeping car,
Bartolomeo Cristofori,Italy,First piano,
John Callcott Horsley,United Kingdom,Christmas card,
Lester Wire,United Kingdom,Electric traffic light,
Yoshua Bengio,Canada,Deep learning,
R. Buckminster Fuller,United States,Geodesic dome,
John Kay,United Kingdom,Flying shuttle,
Thomas Wedgwood,United Kingdom,Photogram (proto-photography),
Cai Lun,China,Paper making,
William Congreve,United Kingdom,Congreve rocket,
Frederick G. Creed,United Kingdom,Teleprinter,
Florence Parpart,United States,Electric refrigerator,
Hans von Ohain,Germany,Jet engine,
Elihu Thomson,United States,Arc welding,
Igor Sikorsky,United States,Helicopter,
Joseph Marie Jacquard,France,Jacquard loom,
Godfrey Hounsfield,United Kingdom,CT scanner,
Yvonne Brill,United States,Propulsion systems,
Pierre Curie,France,Piezoelectricity,
Shinya Yamanaka,Japan,Induced pluripotent stem cells,
James Hargreaves,United Kingdom,Spinning jenny,
Spencer Silver,United States,Adhesive for Post-it Notes,
Robert Adler,United States,Remote control,
Nikolay Slavyanov,Russia,Shielded metal arc welding,
Dr. Robert Gallo,United States,HIV discovery,
Charles Goodyear,United Kingdom,Vulcanized rubber,
Samuel Morse,United States,Morse code,
Daniel Fahrenheit,Germany,Mercury thermometer,
John Logie Baird,United Kingdom,Mechanical television,
Henri Giffard,France,Steam-powered airship (dirigible),
George Eastman,United States,Roll film,
Eugene Polley,United States,Wireless remote control,
Hans Oersted,Denmark,Electromagnetism,
Nikolai Basov,Russia,Laser physics,
Zhores Alferov,Russia,Heterostructure semiconductors,
Ferdinand Carré,France,Absorption refrigeration,
Richard Trevithick,United Kingdom,Steam locomotive,
Edmund Cartwright,United Kingdom,Power loom,
Herbert Saffir,United States,Saffir-Simpson hurricane scale,
John Walker,United Kingdom,Friction match,
Mary Phelps Jacob,United States,Modern brassiere,
Leon Theremin,Russia,Theremin,
Thomas Tompion,United Kingdom,Clockmaking inventions,
Semyon Kirlian,United Kingdom,Kirlian photography,
John von Neumann,United States,Stored-program computer,
Konrad Zuse,Germany,Programmable computer (Z3),
Blaise Pascal,France,Mechanical calculator,
Mary Phelps Jacob,United States,Modern brassiere,
Luther Simjian,United States,ATM,
Benjamin Rubin,United States,Vaccine jet injector,
Ferdinand Carré,France,Absorption refrigeration,
Willem Einthoven,Netherlands,Electrocardiograph,
Heinrich Hertz,Germany,Electromagnetic waves,
Linus Torvalds,Finland,Linux operating system,
Konrad Zuse,Germany,Programmable computer,
Charles Francis Jenkins,United States,Motion picture projector,
Mary Walton,United States,Noise reduction system,
Godfrey Hounsfield,United Kingdom,CT scanner,
Yoshiro Nakamatsu,Japan,Inventor,
Alessandro Volta,Italy,Electric battery,
Sir Isaac Newton,United Kingdom,Reflecting telescope,
Ferdinand von Zeppelin,Germany,Rigid airship,
John Kay,United Kingdom,Flying shuttle,
Auguste and Louis Lumière,France,Cinematograph,
Thomas Edison,United States,Incandescent light bulb,
Charles Babbage,United Kingdom,Mechanical computer,
Albert Ghiorso,United States,Co-discoverer of transuranium elements,
Cai Lun,China,Paper making,
Evangelista Torricelli,Italy,Barometer,
Chester Carlson,United States,Xerography,
Willem Einthoven,Netherlands,Electrocardiograph,
George Antheil,United States,Piano roll,
John Shepherd-Barron,Scotland,ATM,
Linus Torvalds,Finland,Linux operating system,
